date,Investifai,Gold,ACWI,SP,benchmark
01/03/2012,100,100,100,100,100
01/04/2012,100,100,100,100,100
01/05/2012,99.9245975919885,100.682784731163,99.6043746132456,100.266238149104,99.7542602830549
01/06/2012,99.5502656673381,100.312673076455,98.8363779525912,100.007812356147,99.4112887218338
01/09/2012,99.7784533134438,99.8659900512926,99.1854675939765,100.250599722902,99.6782571993642
01/10/2012,100.655524180642,101.231569085438,100.069800866088,101.119807313378,100.409052166026
01/11/2012,100.471869116048,101.888833429763,100.418887755507,101.174632774005,100.371478324419
01/12/2012,100.534779335217,102.341904049561,100.465404237114,101.417378084777,100.556806797328
01/13/2012,100.130931019007,101.627201765105,99.6509021027167,100.89272054254,100.213087208913
01/16/2012,100.130931019007,101.627201765105,99.6509021027167,100.89272054254,100.213087208913
01/17/2012,100.723075553377,102.418475420016,100.488710637323,101.284262667267,100.852016934624
01/18/2012,101.878570234348,103.120412725143,102.047944311656,102.404076380469,101.827274006534
01/19/2012,102.403936881786,102.877923424507,102.908982191423,102.94439429116,102.298649809418
01/20/2012,102.476517924242,103.420330394089,103.095174708288,103.328109431572,102.336683138564
01/23/2012,102.692755726425,104.115880742702,103.49080835094,103.061871282468,102.562669438844
01/24/2012,102.668905590371,103.382035456102,103.188237943128,102.94439429116,102.529301325248
01/25/2012,103.520028741046,106.196152489483,104.142416112783,103.805774897321,103.263309084162
01/26/2012,103.227394545759,106.738559459065,104.026054733632,103.273270257037,103.329944169048
01/27/2012,103.091274433147,107.823363826408,104.142416112783,103.226305608365,103.355967246367
01/30/2012,102.594406991119,107.223528488516,103.304607578177,102.873936804155,102.870387039418
01/31/2012,102.634346370105,108.040323168386,103.514073471659,102.834770797722,103.108946341515
02/01/2012,103.54538077822,108.199853503931,104.840567875893,103.735311010492,104.011387713909
02/02/2012,103.760631592083,109.150657494387,105.329267505352,103.899752650473,104.229619364037
02/03/2012,105.012543785241,106.974661165065,106.8186920577,105.356283027776,105.002902723935
02/06/2012,104.91672324428,106.681121518934,106.376519917712,105.285826455031,104.74963007571
02/07/2012,105.185431279081,108.289189853715,106.772164568228,105.552079232303,104.950592754551
02/08/2012,105.362544323714,107.523446157462,107.074682688686,105.865267401911,105.193503322838
02/09/2012,105.376976149075,107.217150465701,107.097956065303,105.998411161497,105.166623358628
02/10/2012,104.508836732081,106.655600493975,105.748185532485,105.215362568203,104.364940353066
02/13/2012,105.360352169876,106.891702838096,106.91175529254,105.998411161497,105.204023820909
02/14/2012,105.150548347008,106.642835514646,106.399804302193,105.865267401911,104.927551269906
02/15/2012,104.841457061227,107.274579472133,106.14381091924,105.371970824045,104.842464967152
02/16/2012,105.82176940934,107.204385486372,107.447042954722,106.538770213912,105.479863946483
02/17/2012,106.030829278384,106.789610442682,107.749583090908,106.820696159285,105.586166324675
02/20/2012,106.030829278384,106.789610442682,107.749583090908,106.820696159285,105.586166324675
02/21/2012,106.027169528706,109.131514492243,107.959026968662,106.867681835949,105.55768274644
02/22/2012,105.842039222866,110.356706192987,107.726287698563,106.52309704581,105.581672883696
02/23/2012,106.25508182583,110.407757176604,108.191755230896,106.99296386932,105.703716924108
02/24/2012,106.540130057498,109.903636211311,108.727001613588,107.227855682221,105.966782267907
02/27/2012,106.482980040681,109.565432538076,108.261567104848,107.408005232203,105.806780808842
02/28/2012,106.788843188928,110.707674845551,109.285532380761,107.721236372056,106.309633670345
02/29/2012,106.269822485628,104.836950840031,108.633916363019,107.298375338941,105.944517553979
03/01/2012,106.83569003453,106.317397458862,109.448429505281,107.854338075657,106.381716805178
03/02/2012,106.449802576697,106.145101505866,108.773559374685,107.525448395872,106.142503080669
03/05/2012,106.049967228513,105.704796503519,108.191755230896,107.086927908565,105.664166644031
03/06/2012,104.329959868616,103.822340458449,105.352551889833,105.520760323917,104.089958503591
03/07/2012,105.06894297909,104.415798411648,106.53942529813,106.25683055463,104.708229436566
03/08/2012,106.082253762935,105.468694797518,108.284818465736,107.313986337327,105.681079949597
03/09/2012,106.306357723619,106.170632102645,108.447737605984,107.72906244211,105.749864833643
03/12/2012,106.256339583898,105.334694420631,108.238260704639,107.736909540157,105.608566162935
03/13/2012,107.855253064505,103.567095750305,110.006971280318,109.678932367523,106.758407932626
03/14/2012,107.303152885493,101.825027038637,109.541514755849,109.56148280403,105.973494794881
03/15/2012,107.807246828024,102.788587074723,110.286238039887,110.195756525621,106.330834806343
03/16/2012,108.019853753061,102.928974408124,110.495670909776,110.348382262636,106.483242576595
03/19/2012,108.242334272751,103.114025130507,110.961127434245,110.780952742477,106.496821456085
03/20/2012,107.73423107586,102.182373714015,110.146603284119,110.4584729432,105.853701164844
03/21/2012,107.555495817624,102.233424697633,109.634630278044,110.277583756458,105.824410836757
03/22/2012,106.826164880611,101.825027038637,108.680454860355,109.483164505071,105.308623204564
03/23/2012,107.175040710193,103.07573976434,109.192480153784,109.837103094594,105.652951651376
03/26/2012,108.339691341807,104.907144825793,110.635291905714,111.378697184975,106.560025891705
03/27/2012,108.139536271369,104.166931088198,110.286238039887,111.032655063567,106.428184617789
03/28/2012,107.625167465013,103.062974785012,109.657895398762,110.482056293324,105.878007249355
03/29/2012,107.576889610804,102.916209428795,109.05281512639,110.293263324382,105.769234729281
03/30/2012,107.999859435764,103.452228803742,109.844085163661,110.749480238323,106.112703450764
04/02/2012,108.774082287242,103.975492771179,110.984400810861,111.559600085626,106.848214698101
04/03/2012,108.190859286546,102.029220763164,109.867317260788,111.103404199678,106.1056900172
04/04/2012,107.235686386784,100.31906067109,108.005573721895,110.00225602926,105.193631580832
04/05/2012,107.123130656719,101.020988404397,107.865930710229,109.947200174982,105.154765459147
04/06/2012,107.123130656719,101.020988404397,107.865930710229,109.947200174982,105.154765459147
04/09/2012,106.218351699281,101.697395112745,107.004870814734,108.712399001869,104.679229193665
04/10/2012,104.647434192072,102.801352054052,104.956937510943,106.887672142228,103.534145425077
04/11/2012,105.378070857766,102.782209051908,106.050736676535,107.752834129901,104.199567421553
04/12/2012,106.691780996996,103.822340458449,107.935775607773,109.160713047871,105.302335738235
04/13/2012,105.756514774143,102.641821718507,106.283442923041,107.862952238281,104.522676748356
04/16/2012,105.953089072614,102.392955033178,106.53942529813,107.792153732102,104.607211724061
04/17/2012,107.242187774464,102.25894508447,108.075385595847,109.388817390669,105.57549347291
04/18/2012,106.94283865413,101.659109746578,107.726287698563,109.019142549068,105.326444247876
04/19/2012,106.495956442823,101.735681117033,107.167778947119,108.319148124229,104.995893604408
04/20/2012,106.858537167732,101.805874464673,107.563412589771,108.500058338964,105.390295465242
04/23/2012,105.962206620751,101.505966367546,106.283442923041,107.587673881151,104.445654798077
04/24/2012,106.396160728063,101.652731723763,106.8186920577,107.996668324952,104.729751492349
04/25/2012,107.408320996105,101.85692544829,108.075385595847,109.475331120933,105.475077495934
